"464380833,2026-07-02T10:24:18Z,1405/04/11 13:54,اَلّلهم صل علی محمد و آل محمد,hdjafari,quote,چه عرقی؟"
"464380797,2026-07-02T10:17:28Z,1405/04/11 13:47,ali.r.b.63.50,alireza6350,twit,#چکارن #چکاپا \nاین دو سهم شش سال خیری برای سهامدار نداشتن\nهر کسی سهامدار این دو سهم شد  از سال ۹۹ جز ضرر هیچی نداشت ..."
"464380794,2026-07-02T10:17:25Z,1405/04/11 13:47,M.H.M,cont12580,twit,#چدن گزارش حسابرسی اومد ۵۰ تومن به ازای هر سهم احتمالا به ازای هر سهم ۲۰ تومن میسازه"
"464380791,2026-07-02T10:17:06Z,1405/04/11 13:47,Porya04122,porya02122,twit,#خساپا  اگر دزد مدیرش بود حداقل زیان انباشته نداشت"
"464380785,2026-07-02T10:16:37Z,1405/04/11 13:46,M.H.M,cont12580,quote,آقا رضا چارت پلاست بذار بچه ها ببینن 😁 شاید از سوزشت کم بشه"
"464380766,2026-07-02T10:14:18Z,1405/04/11 13:44,مهرداد,trade12,twit,#خودرو سال ۱۳۹۹ قیمت یک گونی ۵۰ کیلیویی کود شیمیایی حدود 10هزار تومن تومان و قیمت همین مقدار کود سال ۱۴۰۵ با نرخ 1.5M هزار تومان به فروش می رسد. یعنی قیمتش حدود 150 برابر رشد داشته!!!!!!\n افزایش رشد ۱۵.۰۰۰ درصدی !!!\nحالا ببینیم سهامداران بعد از 6 سال صبر ،در سالجاری دو قرون عایدشون میشود."
"464380728,2026-07-02T10:08:43Z,1405/04/11 13:38,Talaaloo,talaaloo,twit,#ثمسکن \n\nNAV سهم اومده زیر ۳۰٪\n\nفقط باید خرید!\n\nحداقل ۱۰۰٪ سود توش خوابیده!"
"464380708,2026-07-02T10:04:38Z,1405/04/11 13:34,jahani,aasena4321,twit,#کبافق شاه کبافق رحمی بردل سهامدارات کن 6سال بالای 4300نرفتی برو تا 11 افزایش سرمایه سنگینی بده پول سهامدارات 18برابرکن تا خرداد 1406"
"464343452,2026-06-30T12:49:52Z,1405/04/09 16:19,Amirkazemi,shogoli,retwit,#سخوز مجمع نمیره؟"
"464380673,2026-07-02T09:57:26Z,1405/04/11 13:27,فرهاد خیرخواه,fah123459,twit,#دانا خوش بحالت عزیزم که ریاضیت خوبه و بلدی 2 تا عدد توهم ضرب کنی"
