"464370923,2026-07-01T14:53:30Z,1405/04/10 18:23,آب در هاون,bagbaga,twit,#شاخص_بورس ترامپ گندم ری رو نخورد ولی احتمالا ما گندم آمریکا رو بخوریم 😁😆😂"
"464370913,2026-07-01T14:52:11Z,1405/04/10 18:22,آذرخش بنیادی,azaraxs,twit,#خودرو دوستان نوشتتد اگر پول زیاد داشتم از خودرو نوسانگیری میکردم ، نوشتتد خودشو کشت شد ۵۵ ، باید بگم ، نوسانگیری خوبه ولی نشستن پای سهم تا آخر بهتره ، در مورد در جا زدن و رشد کم باید بگم خیلی ها روی ۴۴ سوار شدند و خیلی ها هم تا الان یا پیاده شدند یا پیادشون گردند ، قیمت این سهم حداقل هزار تومانه خیلی ها نمیخوان شما که ۴۴ خریدی به اونجا برسی ، باری به هر جهت ۴۴ شد حتی ۴۹ یعنی کانال ۴۰ بازم میخرم ، شما رو نمیدونم ؟؟؟؟؟"
"464370907,2026-07-01T14:51:38Z,1405/04/10 18:21,Hadi salabat,hadisalabat,twit,#ومدیر دو روز پیش"
"464370904,2026-07-01T14:51:38Z,1405/04/10 18:21,سهامدار مسدود شده,sahamdarmasdood,twit,#شگستر یا نهاده سوبسید دار لازمه داره فروش کنجاله و الکل به قیمتهای منصفانه"
"464370900,2026-07-01T14:51:29Z,1405/04/10 18:21,امیرعلی محقق,sh.amirali92,twit,#آریا \nزیر ۳۳۷۰ تومان ارزنده و مناسب است.\nاواخر اصلاح است.\n۴۰۵.۰۴.۱۰"
"464370896,2026-07-01T14:51:19Z,1405/04/10 18:21,صالحی,salehi51,twit,#عیار \n🚨این رشد قیمت طلا و دلار در حالیه که طرف ایرانی و آمریکایی تو قطر به صورت غیر مستقیم دارن مذاکره میکنن.\nبازار از چی ترسیده که اینطوری به مذاکره ام بی توجه شده❓\nقبلا اسم مذاکره میومد بازار کله میکرد...\n\n\n🆔@ecobaktash"
"464370883,2026-07-01T14:50:20Z,1405/04/10 18:20,سهامدار مسدود شده,sahamdarmasdood,quote,خیر قیمت سهم دقیقا ان چیزی است که در بازار معامله میشود یعنی قیمت امروز\nتارگت من ۱۰۰۰ تومان است\nو ۲۰۰۰۰ تومان عقب ماندگی سهم نسبت به تورم نقطه به نقطه از تابستان ۹۹ تا امروز است ولی بازار های موظف به جبران عقب ماندگی تک تک افرادی که در هر نقطه ای ورود کردند نیستند\nما فعلا ۱۰۰۰ تومان را تارگت کردیم و اگر شرکت درامد و سودهاش بیشتر بشه در ادامه هم همراهش خواهیم ماند"
"464370857,2026-07-01T14:48:15Z,1405/04/10 18:18,مهیار,bazrafkan6096,quote,بله 77 درصد از محل اندوخته."
"464370852,2026-07-01T14:45:36Z,1405/04/10 18:15,KLOPO00,qwe658,twit,#غمینو ابراهیمی با گروهش و متسن جلالی با بالا بستن هدف ....‌"
"464370840,2026-07-01T14:44:45Z,1405/04/10 18:14,KLOPO00,qwe658,twit,#فرابورس غمینو .خودکفا.غصینو.غشوکو. تیم محسن جلالی و ابراهیمی یه گروه که با  ... بستن هماهنگی کردن وگرنه خزانه خالی"
